@relation class_relation
@attribute 'wordCount' real
@attribute 'DensityinHTML' real
@attribute 'LinkCount' real
@attribute 'wordCountinLink' real
@attribute 'meanofWordinLinks' real
@attribute 'meanofWordinLinksAllWords' real
@attribute 'h1_count' real
@attribute 'h2_count' real
@attribute 'h3_count' real
@attribute 'h4_count' real
@attribute 'h5_count' real
@attribute 'h6_count' real
@attribute 'img_count' real
@attribute 'p_count' real
@attribute 'br_count' real
@attribute 'span_count' real
@attribute 'object_count' real
@attribute 'ul_count' real
@attribute 'li_count' real
@attribute 'input_count' real
@attribute 'div_count' real
@attribute 'td_count' real
@attribute 'dot_count' real
@attribute 'wordCount_AE' real
@attribute 'densityinHTML_AE' real
@attribute 'LinkCount_AE' real
@attribute 'wordCountinLink_AE' real
@attribute 'meanofWordinLinks_AE' real
@attribute 'meanofWordinLinksAllWords_AE' real
@attribute 'h1_count_AE' real
@attribute 'h2_count_AE' real
@attribute 'h3_count_AE' real
@attribute 'h4_count_AE' real
@attribute 'h5_count_AE' real
@attribute 'h6_count_AE' real
@attribute 'img_count_AE' real
@attribute 'p_count_AE' real
@attribute 'br_count_AE' real
@attribute 'span_count_AE' real
@attribute 'object_count_AE' real
@attribute 'ul_count_AE' real
@attribute 'li_count_AE' real
@attribute 'input_count_AE' real
@attribute 'div_count_AE' real
@attribute 'td_count_AE' real
@attribute 'dot_count_AE' real
@attribute 'tagName' {DIV, TD, H1, H2, H3, H4, H5, H6, P, SPAN, FONT, UL, DL, LI, FORM, STRONG, OL, B, TABLE}
@attribute 'hastagORID' real
@attribute 'repeat_tag_count' real
@attribute 'class' {main, headline, summary, others, menu, links, empty}
@data
46,0.0291508238276299,20,44,2.2,0.956521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,0.0291508238276299,20,44,2.2,0.956521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,DIV,1,1,menu
23,0.0254424778761062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0.0254424778761062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,H3,1,1,summary
23,0.014575411913815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.014575411913815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H3,1,1,summary
616,0.68141592920354,94,208,2.21276595744681,0.337662337662338,1,0,0,8,1,0,14,32,7,46,0,14,44,0,128,12,142,10,0.0110619469026549,1,9,9,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DIV,1,1,others
1290,0.817490494296578,102,263,2.57843137254902,0.203875968992248,1,0,0,13,1,0,14,36,7,49,0,14,44,0,132,12,217,14,0.00887198986058302,1,13,13,0.928571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DIV,1,1,others
616,0.68141592920354,94,208,2.21276595744681,0.337662337662338,1,0,0,8,1,0,14,32,7,46,0,14,44,0,130,12,156,2,0.00221238938053097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,DIV,1,1,empty
1290,0.817490494296578,102,263,2.57843137254902,0.203875968992248,1,0,0,13,1,0,14,36,7,49,0,14,44,0,134,12,231,2,0.00126742712294043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,DIV,1,1,empty
8,0.00884955752212389,1,9,9,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.00884955752212389,1,9,9,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H1,1,1,headline
12,0.00760456273764259,1,13,13,1.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.00760456273764259,1,13,13,1.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H1,1,1,headline
41,0.0432489451476793,20,42,2.1,1.02439024390244,0,8,8,0,0,0,0,0,0,0,0,10,20,0,0,0,0,41,0.0432489451476793,20,42,2.1,1.02439024390244,0,8,8,0,0,0,0,0,0,0,0,10,20,0,0,0,0,UL,0,6,menu
